AlbumId,trackNum
5,15
6,13
7,12
8,14
10,14
11,12
12,12
14,13
18,17
21,18
23,34
24,23
25,13
26,17
27,14
29,14
30,14
32,14
33,17
34,17
36,17
37,20
38,12
39,21
40,12
41,14
42,14
45,14
46,13
47,14
48,13
51,22
52,15
53,14
54,20
55,20
56,15
57,15
63,12
67,16
69,13
70,13
71,14
72,18
73,30
74,12
75,14
76,15
78,14
82,13
83,24
84,16
85,14
86,15
88,12
89,13
90,12
91,16
92,14
93,13
95,12
99,12
102,18
115,20
119,13
120,17
122,14
123,12
124,14
125,16
126,15
139,15
140,16
141,57
142,14
143,14
145,18
146,18
148,12
149,16
151,14
153,13
157,14
158,13
159,13
160,15
161,12
162,17
163,17
164,12
165,15
166,14
167,21
168,12
169,16
174,14
175,12
176,14
178,16
179,13
180,15
182,12
184,16
185,17
189,14
190,16
192,14
193,17
194,16
195,15
196,14
199,12
201,16
202,18
203,17
206,12
211,18
212,12
213,18
215,14
216,12
217,14
218,15
219,15
221,20
222,15
223,15
224,22
225,16
227,19
228,23
229,26
230,25
231,24
232,12
234,15
236,12
237,17
238,14
241,14
242,12
243,17
245,12
246,13
247,15
248,19
250,22
251,25
253,24
255,23
256,12
257,12
258,19
259,17
261,17
270,14
271,14
321,12
